schema_version,fuel_id,airport_id,fuel_type,availability_raw,grade_or_detail,price_raw_text,other_fuels_raw,source,source_checked_at,data_checked_at
1.2,EKSB:AVGAS,EKSB,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 08/08",2026-08-02,2026-08-02
1.2,EKSB:MOGAS_SUPER,EKSB,MOGAS_SUPER,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 08/08",2026-08-02,2026-08-02
1.2,EKSB:UL91,EKSB,UL91,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 08/08",2026-08-02,2026-08-02
1.2,EKSS:AVGAS,EKSS,AVGAS,Nein,Nein,,,,,2026-08-02
1.2,EKSS:MOGAS_SUPER,EKSS,MOGAS_SUPER,Nein,Nein,,,,,2026-08-02
1.2,EKSS:UL91,EKSS,UL91,Nein,Nein,,,,,2026-08-02
1.2,EKVJ:AVGAS,EKVJ,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 06/03",2026-08-02,2026-08-02
1.2,EKVJ:MOGAS_SUPER,EKVJ,MOGAS_SUPER,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 06/03",2026-08-02,2026-08-02
1.2,EKVJ:UL91,EKVJ,UL91,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 06/03",2026-08-02,2026-08-02
1.2,EPJA:AVGAS,EPJA,AVGAS,offen,offen,,,,,2026-08-02
1.2,EPJA:MOGAS_SUPER,EPJA,MOGAS_SUPER,offen,offen,,,,,2026-08-02
1.2,EPJA:UL91,EPJA,UL91,offen,offen,,,,,2026-08-02
1.2,ESMH:AVGAS,ESMH,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 05/08",2026-08-02,2026-08-02
1.2,ESMH:MOGAS_SUPER,ESMH,MOGAS_SUPER,offen,offen,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 05/08",2026-08-02,2026-08-02
1.2,ESMH:UL91,ESMH,UL91,offen,offen,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 05/08",2026-08-02,2026-08-02
1.2,ETSI:AVGAS,ETSI,AVGAS,Ja – AVGAS,Avgas 100 LL,Avgas 100 LL 2.90 EUR/l laut AeroPS,,https://www.etsi-airport.de/,2026-08-16,2026-08-16
1.2,ETSI:MOGAS_SUPER,ETSI,MOGAS_SUPER,Nicht bestätigt,Nicht bestätigt,Aktuelle Preise beim Betreiber/Handling,,https://www.etsi-airport.de/,2026-08-03 · mittel bis hoch,2026-08-03 · mittel bis hoch
1.2,ETSI:UL91,ETSI,UL91,Nein,Nein,Aktuelle Preise beim Betreiber/Handling,,https://www.etsi-airport.de/,2026-08-03 · mittel bis hoch,2026-08-03 · mittel bis hoch
1.2,LDLO:AVGAS,LDLO,AVGAS,Ja,Avgas 100 LL,Avgas 100 LL 1.80 EUR/l laut AeroPS,,AOPA European Fuel Price Survey (tmdg.co.uk): LDLO Losinj /INA/,2026-08-16,2026-08-16
1.2,LDLO:MOGAS_SUPER,LDLO,MOGAS_SUPER,Nein,Nein,,,AOPA European Fuel Price Survey (tmdg.co.uk): LDLO Losinj /INA/,2026-08-02,2026-08-02
1.2,LDLO:UL91,LDLO,UL91,Nein,Nein,,,AOPA European Fuel Price Survey (tmdg.co.uk): LDLO Losinj /INA/,2026-08-02,2026-08-02
1.2,LDPV:AVGAS,LDPV,AVGAS,Prüfen,Prüfen,,,"openAIP + en.wikipedia + de.wikipedia (drei Quellen, s. Konflikte)",2026-08-02,2026-08-02
1.2,LDPV:MOGAS_SUPER,LDPV,MOGAS_SUPER,Prüfen,Prüfen,,,"openAIP + en.wikipedia + de.wikipedia (drei Quellen, s. Konflikte)",2026-08-02,2026-08-02
1.2,LDPV:UL91,LDPV,UL91,Prüfen,Prüfen,,,"openAIP + en.wikipedia + de.wikipedia (drei Quellen, s. Konflikte)",2026-08-02,2026-08-02
1.2,LDRI:AVGAS,LDRI,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 06/06",2026-08-02,2026-08-02
1.2,LDRI:MOGAS_SUPER,LDRI,MOGAS_SUPER,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 06/06",2026-08-02,2026-08-02
1.2,LDRI:UL91,LDRI,UL91,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 06/06",2026-08-02,2026-08-02
1.2,LFAT:AVGAS,LFAT,AVGAS,Ja,Ja,,,https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_19_MAR_2026/FRANCE/AIRAC-2026-03-19/pdf/FR-AD-2.LFAT-fr-FR.pdf,2026-08-02,2026-08-02
1.2,LFAT:MOGAS_SUPER,LFAT,MOGAS_SUPER,Nein,Nein,,,https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_19_MAR_2026/FRANCE/AIRAC-2026-03-19/pdf/FR-AD-2.LFAT-fr-FR.pdf,2026-08-02,2026-08-02
1.2,LFAT:UL91,LFAT,UL91,Nein,Nein,,,https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_19_MAR_2026/FRANCE/AIRAC-2026-03-19/pdf/FR-AD-2.LFAT-fr-FR.pdf,2026-08-02,2026-08-02
1.2,LFGA:AVGAS,LFGA,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 03/12",2026-08-02,2026-08-02
1.2,LFGA:MOGAS_SUPER,LFGA,MOGAS_SUPER,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 03/12",2026-08-02,2026-08-02
1.2,LFGA:UL91,LFGA,UL91,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 03/12",2026-08-02,2026-08-02
1.2,LFKB:AVGAS,LFKB,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 03/13",2026-08-02,2026-08-02
1.2,LFKB:MOGAS_SUPER,LFKB,MOGAS_SUPER,Prüfen,Prüfen,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 03/13",2026-08-02,2026-08-02
1.2,LFKB:UL91,LFKB,UL91,Prüfen,Prüfen,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 03/13",2026-08-02,2026-08-02
1.2,LFKF:AVGAS,LFKF,AVGAS,Ja,Ja,,,INTERN: Airport-Hinweis der Zeile,2026-08-02,2026-08-02
1.2,LFKF:MOGAS_SUPER,LFKF,MOGAS_SUPER,Prüfen,Prüfen,,,INTERN: Airport-Hinweis der Zeile,2026-08-02,2026-08-02
1.2,LFKF:UL91,LFKF,UL91,Prüfen,Prüfen,,,INTERN: Airport-Hinweis der Zeile,2026-08-02,2026-08-02
1.2,LFKJ:AVGAS,LFKJ,AVGAS,Ja,Ja,,,AIP/VAC LFKJ (acula.corsica) + ops.group France Summer Parking (zwei Quellen),2026-08-02,2026-08-02
1.2,LFKJ:MOGAS_SUPER,LFKJ,MOGAS_SUPER,Nein,Nein,,,AIP/VAC LFKJ (acula.corsica) + ops.group France Summer Parking (zwei Quellen),2026-08-02,2026-08-02
1.2,LFKJ:UL91,LFKJ,UL91,Nein,Nein,,,AIP/VAC LFKJ (acula.corsica) + ops.group France Summer Parking (zwei Quellen),2026-08-02,2026-08-02
1.2,LFLP:AVGAS,LFLP,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 07/00",2026-08-02,2026-08-02
1.2,LFLP:MOGAS_SUPER,LFLP,MOGAS_SUPER,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 07/00",2026-08-02,2026-08-02
1.2,LFLP:UL91,LFLP,UL91,Nein,Nein,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 07/00",2026-08-02,2026-08-02
1.2,LFMD:AVGAS,LFMD,AVGAS,Ja,Ja,,,https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_30_OCT_2025/Atlas-VAC/PDF_AIPparSSection/VAC/AD/AD-2.LFMD.pdf,2026-08-02,2026-08-02
1.2,LFMD:MOGAS_SUPER,LFMD,MOGAS_SUPER,Nein,Nein,,,https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_30_OCT_2025/Atlas-VAC/PDF_AIPparSSection/VAC/AD/AD-2.LFMD.pdf,2026-08-02,2026-08-02
1.2,LFMD:UL91,LFMD,UL91,Nein,Nein,,,https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_30_OCT_2025/Atlas-VAC/PDF_AIPparSSection/VAC/AD/AD-2.LFMD.pdf,2026-08-02,2026-08-02
1.2,LFMP:AVGAS,LFMP,AVGAS,Ja,Ja,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 06/11",2026-08-02,2026-08-02
1.2,LFMP:MOGAS_SUPER,LFMP,MOGAS_SUPER,offen,offen,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 06/11",2026-08-02,2026-08-02
1.2,LFMP:UL91,LFMP,UL91,offen,offen,,,"AOPA/rec.aviation European Fuel Price Survey (tmdg.co.uk), Eintragsdatum je Platz – Eintrag 06/11",2026-08-02,2026-08-02
1.2,LFMU:AVGAS,LFMU,AVGAS,Ja,Ja,,,INTERN: Airport-Hinweis der Zeile,2026-08-02,2026-08-02
1.2,LFMU:MOGAS_SUPER,LFMU,MOGAS_SUPER,Prüfen,Prüfen,,,INTERN: Airport-Hinweis der Zeile,2026-08-02,2026-08-02
1.2,LFMU:UL91,LFMU,UL91,Prüfen,Prüfen,,,INTERN: Airport-Hinweis der Zeile,2026-08-02,2026-08-02
1.2,LFRD:AVGAS,LFRD,AVGAS,Ja,Ja,,,AIP France AD 2 LFRD (dircam) + Carte VAC France Carburant (zwei Quellen),2026-08-02,2026-08-02
